ID Transaksi,ID Anggota,Nama,Tanggal,Jenis,Nominal,Status,Keterangan
SMP2026050054,KMS005,Anggota 5,2025-12-19,Simpanan Pokok,50000,Verified,
SMP2026050055,KMS048,Anggota 48,2026-02-04,Simpanan Sukarela,250000,Verified,
SMP2026050056,KMS048,Anggota 48,2026-05-01,Simpanan Sukarela,250000,Verified,
SMP2026050057,KMS013,Anggota 13,2025-12-12,Simpanan Sukarela,50000,Verified,
SMP2026050058,KMS013,Anggota 13,2025-11-06,Simpanan Sukarela,500000,Verified,
SMP2026050059,KMS046,Anggota 46,2026-03-30,Simpanan Wajib,1000000,Verified,
SMP2026050060,KMS038,Anggota 38,2025-12-30,Simpanan Sukarela,50000,Verified,
SMP2026050061,KMS048,Anggota 48,2026-01-23,Simpanan Wajib,1000000,Verified,
SMP2026050062,KMS021,Anggota 21,2025-12-09,Simpanan Pokok,1000000,Verified,
SMP2026050063,KMS019,Anggota 19,2026-03-04,Simpanan Pokok,100000,Verified,
SMP2026050064,KMS035,Anggota 35,2026-03-08,Simpanan Sukarela,250000,Verified,
SMP2026050065,KMS044,Anggota 44,2026-01-17,Simpanan Wajib,100000,Verified,
SMP2026050066,KMS002,Anggota 2,2026-01-20,Simpanan Wajib,500000,Verified,
SMP2026050067,KMS011,Anggota 11,2025-11-16,Simpanan Pokok,250000,Verified,
SMP2026050068,KMS024,Anggota 24,2026-03-01,Simpanan Pokok,50000,Verified,
SMP2026050069,KMS036,Anggota 36,2026-01-03,Simpanan Pokok,100000,Verified,
SMP2026050070,KMS004,Anggota 4,2026-04-28,Simpanan Sukarela,100000,Verified,
SMP2026050071,KMS017,Anggota 17,2026-02-21,Simpanan Wajib,1000000,Verified,
SMP2026050072,KMS031,Anggota 31,2025-12-31,Simpanan Wajib,1000000,Verified,
SMP2026050073,KMS012,Anggota 12,2026-04-17,Simpanan Pokok,50000,Verified,
SMP2026050074,KMS042,Anggota 42,2026-03-05,Simpanan Wajib,100000,Verified,
SMP2026050075,KMS041,Anggota 41,2025-12-17,Simpanan Wajib,500000,Verified,
SMP2026050076,KMS038,Anggota 38,2025-12-18,Simpanan Pokok,1000000,Verified,
SMP2026050077,KMS007,Anggota 7,2025-12-27,Simpanan Pokok,100000,Verified,
SMP2026050078,KMS019,Anggota 19,2026-04-27,Simpanan Pokok,50000,Verified,
SMP2026050079,KMS049,Anggota 49,2025-12-30,Simpanan Sukarela,250000,Verified,
SMP2026050080,KMS010,Anggota 10,2025-11-23,Simpanan Sukarela,500000,Verified,
SMP2026050081,KMS008,Anggota 8,2025-12-19,Simpanan Sukarela,1000000,Verified,
SMP2026050082,KMS047,Anggota 47,2025-11-22,Simpanan Wajib,100000,Verified,
SMP2026050083,KMS025,Anggota 25,2025-11-26,Simpanan Pokok,1000000,Verified,
SMP2026050084,KMS017,Anggota 17,2026-02-07,Simpanan Wajib,50000,Verified,
SMP2026050085,KMS027,Anggota 27,2025-11-06,Simpanan Sukarela,100000,Verified,
SMP2026050086,KMS038,Anggota 38,2025-11-21,Simpanan Pokok,50000,Verified,
SMP2026050087,KMS044,Anggota 44,2026-02-06,Simpanan Pokok,50000,Verified,
SMP2026050088,KMS046,Anggota 46,2026-01-12,Simpanan Sukarela,500000,Verified,
SMP2026050089,KMS013,Anggota 13,2025-12-29,Simpanan Pokok,500000,Verified,
SMP2026050090,KMS030,Anggota 30,2026-02-26,Simpanan Wajib,50000,Verified,
SMP2026050091,KMS038,Anggota 38,2025-12-06,Simpanan Wajib,100000,Verified,
SMP2026050092,KMS030,Anggota 30,2026-01-11,Simpanan Wajib,1000000,Verified,
SMP2026050093,KMS034,Anggota 34,2026-03-31,Simpanan Pokok,500000,Verified,
SMP2026050094,KMS026,Anggota 26,2025-11-09,Simpanan Wajib,250000,Verified,
SMP2026050095,KMS042,Anggota 42,2025-12-01,Simpanan Sukarela,50000,Verified,
SMP2026050096,KMS005,Anggota 5,2026-04-17,Simpanan Wajib,500000,Verified,
SMP2026050097,KMS033,Anggota 33,2025-11-30,Simpanan Pokok,500000,Verified,
SMP2026050098,KMS017,Anggota 17,2026-03-01,Simpanan Wajib,250000,Verified,
SMP2026050099,KMS042,Anggota 42,2025-12-04,Simpanan Pokok,500000,Verified,
SMP2026050100,KMS017,Anggota 17,2026-02-17,Simpanan Wajib,500000,Verified,
SMP2026050101,KMS033,Anggota 33,2026-02-13,Simpanan Wajib,100000,Verified,
SMP2026050102,KMS017,Anggota 17,2026-01-24,Simpanan Wajib,1000000,Verified,
SMP2026050103,KMS009,Anggota 9,2026-02-01,Simpanan Pokok,1000000,Verified,
SMP2026050104,KMS022,Anggota 22,2026-02-23,Simpanan Sukarela,100000,Verified,
SMP2026050105,KMS011,Anggota 11,2026-01-02,Simpanan Wajib,100000,Verified,
SMP2026050106,KMS004,Anggota 4,2025-12-12,Simpanan Wajib,1000000,Verified,
SMP2026050107,KMS025,Anggota 25,2025-11-26,Simpanan Wajib,250000,Verified,
SMP2026050108,KMS030,Anggota 30,2026-01-12,Simpanan Sukarela,500000,Verified,
SMP2026050109,KMS015,Anggota 15,2025-11-14,Simpanan Pokok,50000,Verified,
SMP2026050110,KMS039,Anggota 39,2026-01-02,Simpanan Wajib,50000,Verified,
SMP2026050111,KMS023,Anggota 23,2026-05-05,Simpanan Pokok,1000000,Verified,
SMP2026050112,KMS024,Anggota 24,2025-12-09,Simpanan Pokok,250000,Verified,
SMP2026050113,KMS004,Anggota 4,2025-12-18,Simpanan Sukarela,250000,Verified,
SMP2026050114,KMS035,Anggota 35,2026-03-12,Simpanan Wajib,100000,Verified,
SMP2026050115,KMS044,Anggota 44,2026-03-10,Simpanan Sukarela,50000,Verified,
SMP2026050116,KMS035,Anggota 35,2026-02-06,Simpanan Sukarela,500000,Verified,
SMP2026050117,KMS013,Anggota 13,2026-02-21,Simpanan Pokok,500000,Verified,
SMP2026050118,KMS030,Anggota 30,2025-12-14,Simpanan Pokok,100000,Verified,
SMP2026050119,KMS041,Anggota 41,2026-02-16,Simpanan Wajib,50000,Verified,
SMP2026050120,KMS028,Anggota 28,2026-01-18,Simpanan Sukarela,50000,Verified,
SMP2026050121,KMS008,Anggota 8,2026-02-07,Simpanan Pokok,100000,Verified,
SMP2026050122,KMS019,Anggota 19,2025-11-13,Simpanan Pokok,1000000,Verified,
SMP2026050123,KMS042,Anggota 42,2026-01-12,Simpanan Wajib,1000000,Verified,
SMP2026050124,KMS006,Anggota 6,2026-04-27,Simpanan Sukarela,250000,Verified,
SMP2026050125,KMS021,Anggota 21,2025-12-30,Simpanan Pokok,250000,Verified,
SMP2026050126,KMS025,Anggota 25,2025-12-05,Simpanan Wajib,50000,Verified,
SMP2026050127,KMS027,Anggota 27,2025-11-29,Simpanan Pokok,50000,Verified,
SMP2026050128,KMS025,Anggota 25,2026-01-16,Simpanan Sukarela,1000000,Verified,
SMP2026050129,KMS009,Anggota 9,2026-04-02,Simpanan Wajib,50000,Verified,
SMP2026050130,KMS049,Anggota 49,2026-04-07,Simpanan Pokok,100000,Verified,
SMP2026050131,KMS003,Anggota 3,2026-01-03,Simpanan Pokok,250000,Verified,
SMP2026050132,KMS025,Anggota 25,2026-04-10,Simpanan Wajib,50000,Verified,
SMP2026050133,KMS039,Anggota 39,2025-12-15,Simpanan Sukarela,1000000,Verified,
SMP2026050134,KMS009,Anggota 9,2025-11-06,Simpanan Pokok,1000000,Verified,
SMP2026050135,KMS008,Anggota 8,2026-03-14,Simpanan Pokok,50000,Verified,
SMP2026050136,KMS039,Anggota 39,2025-12-14,Simpanan Pokok,100000,Verified,
SMP2026050137,KMS035,Anggota 35,2026-01-27,Simpanan Wajib,1000000,Verified,
SMP2026050138,KMS025,Anggota 25,2026-02-09,Simpanan Pokok,250000,Verified,
SMP2026050139,KMS019,Anggota 19,2026-03-20,Simpanan Wajib,500000,Verified,
SMP2026050140,KMS031,Anggota 31,2026-02-08,Simpanan Sukarela,250000,Verified,
SMP2026050141,KMS023,Anggota 23,2026-03-23,Simpanan Pokok,250000,Verified,
SMP2026050142,KMS019,Anggota 19,2025-12-29,Simpanan Pokok,250000,Verified,
SMP2026050143,KMS050,Anggota 50,2026-03-11,Simpanan Wajib,100000,Verified,
SMP2026050144,KMS036,Anggota 36,2026-02-24,Simpanan Sukarela,100000,Verified,
SMP2026050145,KMS030,Anggota 30,2026-04-16,Simpanan Pokok,500000,Verified,
SMP2026050146,KMS026,Anggota 26,2026-01-31,Simpanan Sukarela,500000,Verified,
SMP2026050147,KMS009,Anggota 9,2025-12-24,Simpanan Pokok,250000,Verified,
SMP2026050148,KMS008,Anggota 8,2025-11-09,Simpanan Sukarela,500000,Verified,
SMP2026050149,KMS027,Anggota 27,2026-01-28,Simpanan Wajib,250000,Verified,
SMP2026050150,KMS027,Anggota 27,2025-11-20,Simpanan Wajib,50000,Verified,
SMP2026050151,KMS024,Anggota 24,2026-03-20,Simpanan Pokok,1000000,Verified,
SMP2026050152,KMS049,Anggota 49,2026-01-10,Simpanan Wajib,250000,Verified,
SMP2026050153,KMS047,Anggota 47,2025-12-01,Simpanan Sukarela,100000,Verified,
SMP2026050154,KMS049,Anggota 49,2026-02-18,Simpanan Sukarela,50000,Verified,
SMP2026050155,KMS032,Anggota 32,2026-01-12,Simpanan Wajib,500000,Verified,
SMP2026050156,KMS031,Anggota 31,2026-02-17,Simpanan Pokok,50000,Verified,
SMP2026050157,KMS014,Anggota 14,2025-12-27,Simpanan Sukarela,500000,Verified,
SMP2026050158,KMS029,Anggota 29,2025-12-08,Simpanan Pokok,500000,Verified,
SMP2026050159,KMS007,Anggota 7,2026-03-28,Simpanan Wajib,250000,Verified,
SMP2026050160,KMS029,Anggota 29,2026-03-30,Simpanan Pokok,500000,Verified,
SMP2026050161,KMS013,Anggota 13,2025-11-10,Simpanan Wajib,1000000,Verified,
SMP2026050162,KMS013,Anggota 13,2026-02-18,Simpanan Sukarela,100000,Verified,
SMP2026050163,KMS024,Anggota 24,2025-12-29,Simpanan Wajib,50000,Verified,
SMP2026050164,KMS044,Anggota 44,2025-12-16,Simpanan Sukarela,100000,Verified,
SMP2026050165,KMS018,Anggota 18,2026-03-08,Simpanan Sukarela,500000,Verified,
SMP2026050166,KMS017,Anggota 17,2026-02-02,Simpanan Wajib,1000000,Verified,
SMP2026050167,KMS040,Anggota 40,2026-02-02,Simpanan Pokok,500000,Verified,
SMP2026050168,KMS009,Anggota 9,2026-03-18,Simpanan Wajib,100000,Verified,
SMP2026050169,KMS011,Anggota 11,2026-03-16,Simpanan Pokok,500000,Verified,
SMP2026050170,KMS010,Anggota 10,2025-11-17,Simpanan Pokok,50000,Verified,
SMP2026050171,KMS012,Anggota 12,2026-01-02,Simpanan Sukarela,100000,Verified,
SMP2026050172,KMS018,Anggota 18,2025-12-01,Simpanan Wajib,250000,Verified,
SMP2026050173,KMS031,Anggota 31,2025-11-09,Simpanan Sukarela,250000,Verified,
SMP2026050174,KMS021,Anggota 21,2026-03-29,Simpanan Pokok,100000,Verified,
SMP2026050175,KMS005,Anggota 5,2026-01-28,Simpanan Wajib,1000000,Verified,
SMP2026050176,KMS010,Anggota 10,2025-11-17,Simpanan Sukarela,250000,Verified,
SMP2026050177,KMS047,Anggota 47,2026-04-23,Simpanan Pokok,250000,Verified,
SMP2026050178,KMS019,Anggota 19,2026-02-15,Simpanan Pokok,500000,Verified,
SMP2026050179,KMS046,Anggota 46,2026-04-05,Simpanan Sukarela,1000000,Verified,
SMP2026050180,KMS045,Anggota 45,2026-04-12,Simpanan Pokok,50000,Verified,
SMP2026050181,KMS036,Anggota 36,2026-01-11,Simpanan Pokok,1000000,Verified,
SMP2026050182,KMS015,Anggota 15,2026-02-06,Simpanan Pokok,100000,Verified,
SMP2026050183,KMS003,Anggota 3,2026-04-21,Simpanan Pokok,250000,Verified,
SMP2026050184,KMS012,Anggota 12,2026-02-10,Simpanan Pokok,250000,Verified,
SMP2026050185,KMS009,Anggota 9,2025-11-27,Simpanan Pokok,250000,Verified,
SMP2026050186,KMS003,Anggota 3,2025-11-06,Simpanan Sukarela,50000,Verified,
SMP2026050187,KMS024,Anggota 24,2026-03-17,Simpanan Wajib,500000,Verified,
SMP2026050188,KMS031,Anggota 31,2026-02-23,Simpanan Pokok,100000,Verified,
SMP2026050189,KMS041,Anggota 41,2026-02-05,Simpanan Wajib,250000,Verified,
SMP2026050190,KMS005,Anggota 5,2026-01-03,Simpanan Pokok,1000000,Verified,
SMP2026050191,KMS044,Anggota 44,2026-01-29,Simpanan Wajib,100000,Verified,
SMP2026050192,KMS028,Anggota 28,2026-01-15,Simpanan Pokok,1000000,Verified,
SMP2026050193,KMS011,Anggota 11,2026-01-10,Simpanan Wajib,500000,Verified,
SMP2026050194,KMS012,Anggota 12,2026-03-14,Simpanan Pokok,50000,Verified,
SMP2026050195,KMS015,Anggota 15,2025-12-15,Simpanan Wajib,250000,Verified,
SMP2026050196,KMS017,Anggota 17,2026-04-29,Simpanan Wajib,250000,Verified,
SMP2026050197,KMS031,Anggota 31,2025-12-23,Simpanan Pokok,100000,Verified,
SMP2026050198,KMS036,Anggota 36,2026-04-01,Simpanan Sukarela,100000,Verified,
SMP2026050199,KMS030,Anggota 30,2026-02-06,Simpanan Pokok,250000,Verified,
